symbol,fiscal_period,announce_d0,sue_mkt,entry_T2,window_end,tercile,window_fwd_return
YKBNK,2019Q1,2019-05-03,0.05977974,2019-05-07,2019-08-02,TOP,0.350254
GSRAY,2019Q3,2020-05-12,0.41112061,2020-05-14,2020-08-13,TOP,0.064
GSDHO,2020Q3,2020-11-10,0.28693682,2020-11-12,2021-02-04,TOP,0.153153
PEKGY,2021Q3,2021-11-09,-0.10118388,2021-11-11,2022-02-04,BOTTOM,-0.071429
ZOREN,2022Q3,2022-11-07,0.03022792,2022-11-09,2023-01-31,MID,-0.168896
ADESE,2023Q2,2023-08-16,0.00878452,2023-08-18,2023-11-10,MID,0.066327
TRILC,2024Q1,2024-06-12,0.00136663,2024-06-14,2024-09-12,MID,-0.215071
TSPOR,2024Q3,2025-04-10,0.15282803,2025-04-14,2025-07-11,TOP,-0.447843
VAKBN,2025Q3,2025-11-07,0.02043773,2025-11-11,2026-02-03,MID,0.483508
TSPOR,2025Q3,2026-05-04,-0.05651419,2026-05-06,2026-05-26,BOTTOM,0.02
